taxon	sp_0000	sp_0001	sp_0002	sp_0003	sp_0004	sp_0005	sp_0006	sp_0007	sp_0008	sp_0009	sp_0010	sp_0011	sp_0012	sp_0013	sp_0014	sp_0015	sp_0016	sp_0017	sp_0018	sp_0019	sp_0020	sp_0021	sp_0022	sp_0023	sp_0024	sp_0025	sp_0026	sp_0027	sp_0028	sp_0029	sp_0030	sp_0031	sp_0032	sp_0033	sp_0034	sp_0035	sp_0036	sp_0037	sp_0038	sp_0039	sp_0040	sp_0041	sp_0042	sp_0043	sp_0044	sp_0045	sp_0046	sp_0047	sp_0048	sp_0049	sp_0050	sp_0051	sp_0052	sp_0053	sp_0054	sp_0055	sp_0056	sp_0057	sp_0058	sp_0059	sp_0060	sp_0061	sp_0062	sp_0063	sp_0064	sp_0065	sp_0066	sp_0067	sp_0068	sp_0069	sp_0070	sp_0071	sp_0072	sp_0073	sp_0074	sp_0075	sp_0076	sp_0077	sp_0078	sp_0079	sp_0080	sp_0081	sp_0082	sp_0083	sp_0084	sp_0085	sp_0086	sp_0087	sp_0088	sp_0089	sp_0090	sp_0091	sp_0092	sp_0093	sp_0094	sp_0095	sp_0096	sp_0097	sp_0098	sp_0099	sp_0100	sp_0101	sp_0102	sp_0103	sp_0104	sp_0105	sp_0106	sp_0107	sp_0108	sp_0109	sp_0110	sp_0111	sp_0112	sp_0113	sp_0114	sp_0115	sp_0116	sp_0117	sp_0118	sp_0119	sp_0120	sp_0121	sp_0122	sp_0123	sp_0124	sp_0125	sp_0126	sp_0127	sp_0128	sp_0129	sp_0130	sp_0131	sp_0132	sp_0133	sp_0134	sp_0135	sp_0136	sp_0137	sp_0138	sp_0139	sp_0140	sp_0141	sp_0142	sp_0143	sp_0144	sp_0145	sp_0146	sp_0147	sp_0148	sp_0149	sp_0150	sp_0151	sp_0152	sp_0153	sp_0154	sp_0155	sp_0156	sp_0157	sp_0158	sp_0159	sp_0160	sp_0161	sp_0162	sp_0163	sp_0164	sp_0165	sp_0166	sp_0167	sp_0168	sp_0169	sp_0170	sp_0171	sp_0172	sp_0173	sp_0174	sp_0175	sp_0176	sp_0177	sp_0178	sp_0179
sp_0000	0.000000	0.461226	0.296895	0.399919	0.310281	0.564430	0.246444	0.315708	0.405531	0.471695	0.445880	0.395031	0.419852	0.331245	0.369281	0.475872	0.288425	0.449666	0.474229	0.375717	0.294421	0.380223	0.415561	0.340457	0.429084	0.427847	0.458718	0.279500	0.374578	0.429923	0.518195	0.442307	0.358021	0.260529	0.487337	0.355743	0.433833	0.479652	0.488824	0.402998	0.302100	0.309313	0.518254	0.411243	0.277933	0.449697	0.541789	0.349952	0.405674	0.450361	0.382689	0.469756	0.443362	0.310098	0.382392	0.529152	0.480715	0.314801	0.286076	0.505768	0.554450	0.368188	0.518367	0.462319	0.414732	0.483229	0.485791	0.475618	0.375890	0.303571	0.472343	0.367562	0.463680	0.267188	0.460592	0.428835	0.450867	0.506697	0.332934	0.613791	0.505596	0.386826	0.565570	0.345327	0.345470	0.357322	0.402643	0.499387	0.540633	0.641167	0.398915	0.406542	0.470026	0.410847	0.373546	0.527551	0.390108	0.279853	0.388845	0.468804	0.440943	0.334217	0.255329	0.448704	0.387991	0.467195	0.275862	0.343795	0.533479	0.440667	0.424345	0.508949	0.348806	0.552781	0.465641	0.385342	0.504445	0.445153	0.300538	0.362514	0.426402	0.354431	0.236942	0.442798	0.401699	0.333425	0.459298	0.257176	0.322282	0.539671	0.410663	0.415913	0.422859	0.371126	0.421299	0.436171	0.374554	0.353973	0.332335	0.348822	0.421727	0.317533	0.576286	0.471307	0.278531	0.419399	0.561421	0.614386	0.357391	0.354555	0.326158	0.399110	0.405970	0.395581	0.309247	0.423848	0.382938	0.297608	0.502858	0.263214	0.525589	0.472135	0.454982	0.451390	0.203654	0.429474	0.350887	0.319035	0.423842	0.364863	0.469672	0.257696	0.481368	0.300681	0.396462	0.285470	0.404752	0.477359	0.375479	0.491172
sp_0001	0.461226	0.000000	0.372157	0.500434	0.427076	0.587294	0.567567	0.586538	0.527267	0.483887	0.693076	0.566518	0.422578	0.500651	0.416500	0.600838	0.377643	0.512902	0.260826	0.427348	0.453169	0.477296	0.462675	0.522555	0.526530	0.509573	0.480861	0.623184	0.442113	0.532451	0.618741	0.530977	0.407982	0.411448	0.673153	0.500740	0.344804	0.499131	0.442074	0.599638	0.460516	0.401799	0.444631	0.582609	0.417789	0.570811	0.606570	0.511899	0.384753	0.546466	0.380689	0.496593	0.445985	0.387611	0.504246	0.426551	0.570605	0.466225	0.316244	0.530994	0.583407	0.450224	0.476759	0.726390	0.623469	0.681200	0.518120	0.525870	0.449299	0.431810	0.410816	0.388057	0.551137	0.510638	0.622284	0.510899	0.444963	0.627045	0.525202	0.619959	0.558232	0.603621	0.594065	0.507403	0.599249	0.337743	0.466892	0.573206	0.566611	0.609399	0.435360	0.554410	0.534986	0.522168	0.358233	0.535512	0.404681	0.500533	0.467195	0.329257	0.621528	0.538207	0.503811	0.538252	0.447378	0.370281	0.450442	0.415797	0.510322	0.480293	0.490301	0.545354	0.529526	0.809397	0.539674	0.393280	0.470516	0.622705	0.390636	0.569097	0.356965	0.548935	0.445098	0.391114	0.566592	0.476820	0.560413	0.480027	0.490474	0.422467	0.486773	0.507038	0.405130	0.605464	0.443283	0.597514	0.499431	0.525741	0.521891	0.479058	0.493008	0.534540	0.491232	0.533034	0.456062	0.515468	0.387505	0.538789	0.447520	0.363171	0.395771	0.532259	0.622620	0.554866	0.492974	0.611009	0.539647	0.616814	0.631164	0.463594	0.712493	0.581880	0.567561	0.533816	0.486350	0.415860	0.436696	0.396004	0.474275	0.476869	0.537708	0.529937	0.522165	0.511198	0.566086	0.547584	0.598630	0.610923	0.447188	0.399908
sp_0002	0.296895	0.372157	0.000000	0.459663	0.284976	0.466570	0.299066	0.414437	0.423536	0.411174	0.525237	0.428814	0.337039	0.407644	0.351991	0.451575	0.310110	0.420429	0.399144	0.295541	0.353003	0.428366	0.432069	0.390357	0.469962	0.529982	0.404522	0.485942	0.380248	0.396287	0.485673	0.458533	0.359545	0.357209	0.532159	0.286375	0.351086	0.370760	0.465539	0.495316	0.280797	0.235457	0.544087	0.456908	0.282066	0.431696	0.515576	0.419134	0.311176	0.499095	0.268380	0.411168	0.458549	0.341009	0.404625	0.455625	0.443421	0.329911	0.251362	0.478475	0.565191	0.354596	0.420603	0.525523	0.500355	0.551620	0.350162	0.494048	0.422011	0.297544	0.355507	0.462833	0.574494	0.372347	0.540523	0.332201	0.279954	0.402289	0.362310	0.479953	0.501591	0.446702	0.538363	0.268024	0.284588	0.319585	0.372555	0.446960	0.455462	0.584683	0.370356	0.425406	0.454191	0.409934	0.301745	0.448082	0.394960	0.400514	0.340299	0.429099	0.528818	0.381843	0.345617	0.437340	0.357309	0.327351	0.314560	0.404574	0.500133	0.325430	0.297016	0.373426	0.330988	0.663103	0.347930	0.240826	0.462552	0.436470	0.303290	0.389287	0.403331	0.410788	0.367492	0.319878	0.392671	0.311048	0.464174	0.382239	0.245844	0.425037	0.471907	0.528132	0.367719	0.526627	0.322177	0.471825	0.375990	0.374521	0.306643	0.502739	0.444965	0.290292	0.521707	0.370609	0.364031	0.487431	0.468181	0.674345	0.297523	0.334693	0.361127	0.385858	0.337835	0.312042	0.437185	0.529503	0.473703	0.432325	0.636461	0.361162	0.587898	0.367613	0.546225	0.322000	0.353601	0.411687	0.235101	0.305620	0.399677	0.421682	0.401192	0.398624	0.479056	0.363433	0.463599	0.343911	0.501178	0.337241	0.458757	0.465631
sp_0003	0.399919	0.500434	0.459663	0.000000	0.384433	0.492997	0.459673	0.328054	0.640319	0.480964	0.443326	0.453489	0.526322	0.576684	0.410080	0.442548	0.421590	0.539897	0.504934	0.493122	0.431801	0.398663	0.355414	0.395634	0.462072	0.422992	0.484367	0.494389	0.348627	0.502018	0.537029	0.542885	0.419030	0.432160	0.590296	0.471255	0.554358	0.511816	0.394249	0.444361	0.505990	0.391336	0.468573	0.351530	0.357875	0.644191	0.617136	0.437796	0.452432	0.467923	0.496376	0.578273	0.432346	0.403829	0.446747	0.527875	0.505260	0.452577	0.476384	0.584430	0.590702	0.334383	0.586152	0.592906	0.483859	0.752198	0.466238	0.546029	0.466717	0.439823	0.426638	0.550247	0.522722	0.525339	0.442157	0.491429	0.457376	0.566557	0.291295	0.719550	0.486824	0.390087	0.587776	0.415302	0.633790	0.424839	0.306095	0.605926	0.640490	0.596136	0.405261	0.494346	0.691378	0.296168	0.480869	0.450787	0.423923	0.376338	0.512917	0.561782	0.498782	0.349047	0.484939	0.449654	0.524510	0.575256	0.456765	0.383409	0.575571	0.613591	0.384518	0.608082	0.607799	0.608146	0.570978	0.451998	0.616087	0.559951	0.380323	0.523192	0.379329	0.445771	0.433869	0.410922	0.474499	0.417263	0.604489	0.268222	0.503496	0.429912	0.609207	0.443283	0.485754	0.566300	0.438085	0.621291	0.533752	0.469676	0.355066	0.462198	0.607686	0.360983	0.401672	0.615918	0.327681	0.476464	0.578726	0.716430	0.556121	0.411766	0.476251	0.541926	0.493122	0.506358	0.411559	0.671034	0.477248	0.574217	0.675291	0.363374	0.597724	0.586530	0.431810	0.483648	0.409244	0.444281	0.560822	0.302908	0.583819	0.415711	0.546482	0.484007	0.432216	0.483207	0.465344	0.488117	0.297294	0.634296	0.515131	0.421678
sp_0004	0.310281	0.427076	0.284976	0.384433	0.000000	0.581805	0.292116	0.360437	0.581260	0.471037	0.460307	0.352469	0.370099	0.466440	0.431125	0.456461	0.205131	0.460984	0.438005	0.243068	0.423928	0.332895	0.351742	0.263628	0.515246	0.345546	0.391041	0.453051	0.367213	0.402616	0.486607	0.534014	0.312990	0.331069	0.497771	0.377318	0.395847	0.449311	0.423645	0.505363	0.264902	0.258074	0.404893	0.360934	0.230272	0.485091	0.468101	0.355729	0.355489	0.312850	0.359280	0.386765	0.403320	0.432236	0.234976	0.503433	0.520573	0.283010	0.328166	0.412723	0.560886	0.340176	0.414103	0.428951	0.504281	0.691605	0.334626	0.611643	0.374103	0.255728	0.393484	0.466748	0.542357	0.365249	0.532288	0.270525	0.291743	0.520096	0.215404	0.512289	0.522299	0.402308	0.556897	0.351022	0.464054	0.432041	0.219688	0.359973	0.596786	0.589441	0.403554	0.436713	0.439790	0.372181	0.251216	0.418755	0.255567	0.398646	0.361338	0.453957	0.387463	0.391732	0.406471	0.407217	0.330076	0.528377	0.339243	0.332278	0.350491	0.456943	0.322502	0.507122	0.452585	0.623920	0.463746	0.422662	0.601453	0.501777	0.290147	0.387587	0.324350	0.439791	0.318062	0.409591	0.478157	0.405819	0.498201	0.343512	0.361016	0.456430	0.498397	0.484200	0.445052	0.568179	0.431318	0.584428	0.405217	0.323844	0.225635	0.432034	0.345883	0.341429	0.408272	0.329240	0.318982	0.541575	0.520780	0.576751	0.424824	0.344106	0.256610	0.316690	0.370872	0.376891	0.495827	0.548826	0.495436	0.377260	0.561880	0.388567	0.563561	0.476197	0.383188	0.383653	0.368724	0.426395	0.368221	0.324486	0.452517	0.432508	0.472756	0.342050	0.354272	0.318090	0.439422	0.362250	0.361191	0.566935	0.434267	0.459368
sp_0005	0.564430	0.587294	0.466570	0.492997	0.581805	0.000000	0.518241	0.511534	0.651844	0.372643	0.590027	0.713287	0.598713	0.682756	0.493992	0.599759	0.604454	0.612114	0.528647	0.674706	0.531396	0.570357	0.552131	0.569772	0.543411	0.701459	0.545845	0.661136	0.591721	0.729642	0.622952	0.613335	0.592262	0.568340	0.647461	0.544609	0.655587	0.402031	0.473022	0.599482	0.526714	0.493301	0.726234	0.455462	0.487364	0.687772	0.695250	0.557289	0.469673	0.587298	0.569113	0.728094	0.676601	0.575752	0.646025	0.628855	0.453544	0.639702	0.587405	0.736754	0.752209	0.477718	0.549937	0.803761	0.735113	0.734664	0.438175	0.619300	0.566598	0.564371	0.459202	0.618728	0.716005	0.727517	0.582259	0.669708	0.488448	0.628705	0.531133	0.760199	0.558529	0.510166	0.583485	0.415471	0.596449	0.450473	0.550223	0.616700	0.585469	0.598690	0.603632	0.572960	0.723898	0.504291	0.602825	0.653753	0.680088	0.542997	0.582786	0.610388	0.730930	0.449080	0.586289	0.551452	0.688655	0.501534	0.556547	0.516702	0.758510	0.603873	0.496948	0.629457	0.553004	0.648026	0.555016	0.402703	0.657459	0.511322	0.555308	0.560263	0.573007	0.654436	0.662916	0.369753	0.477304	0.394800	0.734015	0.492471	0.588709	0.480491	0.633114	0.581419	0.462220	0.623901	0.382972	0.604945	0.668532	0.522264	0.511991	0.692890	0.795508	0.465214	0.562538	0.717141	0.621104	0.500759	0.675366	0.883513	0.524583	0.553956	0.715412	0.627698	0.486603	0.454567	0.518626	0.822037	0.652978	0.699643	0.896307	0.539298	0.585354	0.538801	0.630190	0.520883	0.587921	0.461781	0.535419	0.521293	0.648109	0.499440	0.483883	0.627361	0.719776	0.610638	0.649932	0.528095	0.597862	0.435305	0.707670	0.671481
sp_0006	0.246444	0.567567	0.299066	0.459673	0.292116	0.518241	0.000000	0.293312	0.527174	0.437081	0.389940	0.387180	0.450084	0.476630	0.440464	0.436128	0.367871	0.460448	0.524173	0.414349	0.426484	0.375746	0.444308	0.339706	0.529378	0.494760	0.435388	0.353362	0.458903	0.485725	0.447335	0.523574	0.416279	0.315053	0.507041	0.390879	0.519174	0.475385	0.507076	0.452538	0.287658	0.360774	0.590533	0.328613	0.271409	0.464000	0.582015	0.419379	0.443781	0.408882	0.390674	0.543884	0.549262	0.427170	0.365101	0.571014	0.437713	0.339671	0.402409	0.472158	0.632819	0.380639	0.485442	0.417355	0.514816	0.547431	0.435422	0.586388	0.390001	0.295552	0.453232	0.497791	0.528826	0.397650	0.517265	0.411058	0.432336	0.481507	0.292696	0.638270	0.570148	0.424481	0.573848	0.263263	0.338270	0.445271	0.372003	0.397390	0.542508	0.607670	0.446981	0.407785	0.453117	0.379701	0.372809	0.574795	0.477378	0.408476	0.386412	0.545336	0.459086	0.305865	0.311346	0.424460	0.373564	0.511379	0.345338	0.426698	0.523897	0.415068	0.370857	0.525289	0.317429	0.544875	0.439843	0.409555	0.590024	0.382512	0.355117	0.293617	0.490022	0.394362	0.404706	0.449064	0.344286	0.396863	0.500874	0.344230	0.386139	0.554006	0.490459	0.497102	0.478678	0.473672	0.469026	0.457461	0.451739	0.339769	0.269284	0.506183	0.498580	0.263106	0.560754	0.444360	0.414542	0.477887	0.649730	0.676124	0.401635	0.447373	0.400992	0.344876	0.262665	0.245892	0.465207	0.543948	0.437332	0.314265	0.626621	0.349162	0.429217	0.454493	0.509290	0.337116	0.291293	0.490017	0.378120	0.389605	0.500516	0.376141	0.378209	0.285844	0.551289	0.291348	0.447833	0.250562	0.456919	0.417885	0.469412	0.594995
sp_0007	0.315708	0.586538	0.414437	0.328054	0.360437	0.511534	0.293312	0.000000	0.553247	0.445760	0.329793	0.388422	0.422664	0.522227	0.470308	0.359724	0.388439	0.565473	0.569096	0.517535	0.389794	0.425138	0.398098	0.418116	0.405104	0.510330	0.520585	0.441703	0.454184	0.465531	0.404003	0.620981	0.423954	0.443071	0.474394	0.377508	0.510012	0.569311	0.419345	0.376869	0.409410	0.362594	0.547789	0.273364	0.291313	0.604700	0.573046	0.434632	0.405962	0.439427	0.536121	0.648897	0.532416	0.396349	0.472794	0.602866	0.473126	0.313431	0.516986	0.563471	0.503374	0.323715	0.553772	0.432894	0.482658	0.636727	0.492576	0.563185	0.429312	0.343365	0.504030	0.551490	0.458454	0.441479	0.420732	0.467956	0.505350	0.566867	0.203068	0.693572	0.432564	0.350204	0.577725	0.349877	0.476814	0.511901	0.377498	0.432811	0.606002	0.598726	0.422317	0.466463	0.586424	0.301330	0.437547	0.532215	0.502638	0.289406	0.514343	0.592899	0.446643	0.293424	0.339298	0.393525	0.448542	0.573048	0.432631	0.453718	0.577899	0.547641	0.402207	0.516406	0.478370	0.498033	0.596141	0.475407	0.650994	0.395950	0.343597	0.337502	0.441820	0.502709	0.471198	0.477233	0.325989	0.426735	0.511280	0.327010	0.413572	0.541754	0.501787	0.447289	0.556165	0.500884	0.524180	0.515150	0.593410	0.349707	0.311227	0.441150	0.602687	0.279089	0.470571	0.497846	0.326037	0.480186	0.629995	0.692658	0.496804	0.475038	0.484196	0.457340	0.407359	0.349503	0.450533	0.491583	0.422913	0.403116	0.682767	0.405689	0.538365	0.530929	0.484235	0.388487	0.352317	0.454535	0.497959	0.314699	0.622824	0.405404	0.433650	0.386283	0.436031	0.438010	0.336117	0.344570	0.305963	0.553534	0.564352	0.462481
sp_0008	0.405531	0.527267	0.423536	0.640319	0.581260	0.651844	0.527174	0.553247	0.000000	0.503623	0.682832	0.571487	0.488302	0.487092	0.439501	0.713766	0.547613	0.569291	0.541751	0.586734	0.344679	0.606446	0.577074	0.572655	0.518830	0.686178	0.650738	0.538838	0.503458	0.446303	0.543916	0.447067	0.498714	0.558188	0.607138	0.367925	0.523478	0.655054	0.575397	0.542839	0.529992	0.476564	0.690288	0.676000	0.465717	0.537659	0.704629	0.533636	0.575774	0.728892	0.570104	0.568873	0.564365	0.421791	0.627724	0.631599	0.469861	0.518072	0.420541	0.703124	0.484062	0.496608	0.693826	0.686191	0.579017	0.519747	0.683893	0.456261	0.554440	0.455697	0.633247	0.517680	0.605941	0.482507	0.494399	0.577527	0.623334	0.482984	0.595074	0.604313	0.582354	0.601301	0.531130	0.577662	0.360756	0.470493	0.613693	0.673918	0.553253	0.620279	0.517717	0.645975	0.569505	0.634175	0.525515	0.727191	0.604030	0.451040	0.549355	0.502749	0.707392	0.539696	0.347117	0.645154	0.525658	0.435381	0.456301	0.556032	0.697380	0.485002	0.600437	0.439230	0.525769	0.649911	0.602638	0.491688	0.618090	0.502791	0.484854	0.506128	0.590723	0.598727	0.484825	0.622371	0.574252	0.517883	0.547548	0.522160	0.421085	0.649911	0.457455	0.629006	0.514606	0.520063	0.545223	0.486994	0.621787	0.512147	0.609268	0.473581	0.630207	0.543418	0.757579	0.637812	0.509926	0.471431	0.631866	0.798461	0.501437	0.519435	0.511147	0.577621	0.661563	0.530763	0.415622	0.472203	0.569542	0.488293	0.588649	0.470054	0.746666	0.436215	0.718522	0.629910	0.380521	0.487215	0.499214	0.528704	0.547873	0.528064	0.607252	0.441484	0.616622	0.506462	0.557685	0.479242	0.667913	0.503373	0.634630	0.589619
sp_0009	0.471695	0.483887	0.411174	0.480964	0.471037	0.372643	0.437081	0.445760	0.503623	0.000000	0.489587	0.549550	0.444819	0.580739	0.432148	0.569492	0.545153	0.482821	0.423146	0.602399	0.433064	0.453201	0.473630	0.417586	0.540694	0.563812	0.388838	0.503364	0.533900	0.579981	0.381187	0.494258	0.523929	0.487346	0.535909	0.455281	0.533898	0.487647	0.268637	0.483461	0.481682	0.412530	0.652893	0.383288	0.318177	0.568944	0.706721	0.457224	0.499129	0.516490	0.540758	0.607073	0.544037	0.464292	0.518601	0.506277	0.328866	0.503343	0.488385	0.542678	0.560940	0.355112	0.495135	0.680304	0.685082	0.689745	0.510453	0.510550	0.420276	0.380176	0.457139	0.508328	0.524163	0.629411	0.514651	0.554523	0.506102	0.536222	0.423278	0.629143	0.510136	0.554741	0.536093	0.422448	0.536158	0.364360	0.428481	0.493068	0.596828	0.324481	0.495825	0.506944	0.509335	0.391810	0.386061	0.712958	0.550315	0.462656	0.383758	0.462468	0.629245	0.359284	0.386772	0.401837	0.495631	0.409403	0.424065	0.423796	0.603612	0.517322	0.407366	0.570276	0.509643	0.655633	0.560584	0.394989	0.607439	0.406505	0.413954	0.377456	0.424039	0.573417	0.553927	0.388569	0.440313	0.489263	0.583517	0.466631	0.534629	0.415218	0.547896	0.520853	0.396935	0.475456	0.429123	0.484032	0.624987	0.397642	0.432382	0.516100	0.636090	0.438661	0.450347	0.627362	0.523209	0.290871	0.665814	0.689558	0.531081	0.503699	0.538526	0.477217	0.494764	0.327223	0.465463	0.679919	0.549681	0.537655	0.665996	0.497298	0.502969	0.521912	0.610560	0.495286	0.441365	0.295637	0.546922	0.464970	0.562596	0.293451	0.346017	0.411426	0.594372	0.506593	0.592744	0.412366	0.552555	0.477567	0.617103	0.556673
