species	frc
sp_0000	frc_11
sp_0001	frc_31
sp_0002	frc_33
sp_0003	frc_31
sp_0004	frc_23
sp_0005	frc_26
sp_0006	frc_42
sp_0007	frc_15
sp_0008	frc_12
sp_0009	frc_23
sp_0010	frc_13
sp_0011	frc_38
sp_0012	frc_24
sp_0013	frc_39
sp_0014	frc_15
sp_0015	frc_38
sp_0016	frc_12
sp_0017	frc_13
sp_0018	frc_5
sp_0019	frc_43
sp_0020	frc_22
sp_0021	frc_20
sp_0022	frc_14
sp_0023	frc_18
sp_0024	frc_33
sp_0025	frc_44
sp_0026	frc_20
sp_0027	frc_31
sp_0028	frc_36
sp_0029	frc_45
sp_0030	frc_12
sp_0031	frc_4
sp_0032	frc_33
sp_0033	frc_17
sp_0034	frc_32
sp_0035	frc_25
sp_0036	frc_15
sp_0037	frc_25
sp_0038	frc_18
sp_0039	frc_37
sp_0040	frc_2
sp_0041	frc_30
sp_0042	frc_40
sp_0043	frc_9
sp_0044	frc_31
sp_0045	frc_37
sp_0046	frc_0
sp_0047	frc_35
sp_0048	frc_28
sp_0049	frc_11
sp_0050	frc_15
sp_0051	frc_8
sp_0052	frc_46
sp_0053	frc_1
sp_0054	frc_19
sp_0055	frc_31
sp_0056	frc_11
sp_0057	frc_42
sp_0058	frc_30
sp_0059	frc_30
sp_0060	frc_43
sp_0061	frc_6
sp_0062	frc_34
sp_0063	frc_44
sp_0064	frc_6
sp_0065	frc_39
sp_0066	frc_21
sp_0067	frc_36
sp_0068	frc_1
sp_0069	frc_42
sp_0070	frc_28
sp_0071	frc_18
sp_0072	frc_7
sp_0073	frc_8
sp_0074	frc_41
sp_0075	frc_31
sp_0076	frc_36
sp_0077	frc_44
sp_0078	frc_11
sp_0079	frc_10
sp_0080	frc_24
sp_0081	frc_24
sp_0082	frc_17
sp_0083	frc_41
sp_0084	frc_25
sp_0085	frc_7
sp_0086	frc_23
sp_0087	frc_16
sp_0088	frc_32
sp_0089	frc_39
sp_0090	frc_14
sp_0091	frc_30
sp_0092	frc_29
sp_0093	frc_5
sp_0094	frc_39
sp_0095	frc_26
sp_0096	frc_37
sp_0097	frc_17
sp_0098	frc_38
sp_0099	frc_46
sp_0100	frc_6
sp_0101	frc_17
sp_0102	frc_23
sp_0103	frc_32
sp_0104	frc_20
sp_0105	frc_22
sp_0106	frc_7
sp_0107	frc_6
sp_0108	frc_33
sp_0109	frc_17
sp_0110	frc_23
sp_0111	frc_43
sp_0112	frc_4
sp_0113	frc_8
sp_0114	frc_22
sp_0115	frc_14
sp_0116	frc_9
sp_0117	frc_23
sp_0118	frc_7
sp_0119	frc_8
sp_0120	frc_33
sp_0121	frc_24
sp_0122	frc_44
sp_0123	frc_3
sp_0124	frc_13
sp_0125	frc_31
sp_0126	frc_38
sp_0127	frc_40
sp_0128	frc_35
sp_0129	frc_43
sp_0130	frc_18
sp_0131	frc_10
sp_0132	frc_43
sp_0133	frc_31
sp_0134	frc_27
sp_0135	frc_0
sp_0136	frc_11
sp_0137	frc_30
sp_0138	frc_21
sp_0139	frc_36
sp_0140	frc_17
sp_0141	frc_23
sp_0142	frc_11
sp_0143	frc_35
sp_0144	frc_12
sp_0145	frc_10
sp_0146	frc_42
sp_0147	frc_14
sp_0148	frc_26
sp_0149	frc_41
sp_0150	frc_0
sp_0151	frc_3
sp_0152	frc_27
sp_0153	frc_33
sp_0154	frc_43
sp_0155	frc_36
sp_0156	frc_11
sp_0157	frc_18
sp_0158	frc_25
sp_0159	frc_24
sp_0160	frc_42
sp_0161	frc_31
sp_0162	frc_19
sp_0163	frc_5
sp_0164	frc_11
sp_0165	frc_35
sp_0166	frc_13
sp_0167	frc_21
sp_0168	frc_15
sp_0169	frc_39
sp_0170	frc_2
sp_0171	frc_15
sp_0172	frc_16
sp_0173	frc_12
sp_0174	frc_28
sp_0175	frc_34
sp_0176	frc_19
sp_0177	frc_32
sp_0178	frc_38
sp_0179	frc_35
