parent	child	weight
frc_0	frc_1	1.000000
frc_1	frc_2	1.000000
frc_0	frc_3	1.000000
frc_1	frc_4	1.000000
frc_4	frc_5	1.000000
frc_3	frc_6	1.000000
frc_2	frc_7	1.000000
frc_3	frc_8	1.000000
frc_2	frc_9	1.000000
frc_8	frc_10	1.000000
frc_4	frc_11	1.000000
frc_6	frc_12	1.000000
frc_0	frc_13	1.000000
frc_1	frc_14	1.000000
frc_6	frc_15	1.000000
frc_12	frc_16	1.000000
frc_1	frc_17	1.000000
frc_13	frc_18	1.000000
frc_4	frc_19	1.000000
frc_10	frc_20	1.000000
frc_5	frc_21	1.000000
frc_11	frc_22	1.000000
frc_4	frc_23	1.000000
frc_10	frc_24	1.000000
frc_16	frc_25	1.000000
frc_7	frc_26	1.000000
frc_18	frc_27	1.000000
frc_16	frc_28	1.000000
frc_11	frc_29	1.000000
frc_29	frc_30	1.000000
frc_3	frc_31	1.000000
frc_11	frc_32	1.000000
frc_26	frc_33	1.000000
frc_24	frc_34	1.000000
frc_29	frc_35	1.000000
frc_15	frc_36	1.000000
frc_36	frc_37	1.000000
frc_15	frc_38	1.000000
frc_34	frc_39	1.000000
frc_29	frc_40	1.000000
frc_23	frc_41	1.000000
frc_26	frc_42	1.000000
frc_15	frc_43	1.000000
frc_25	frc_44	1.000000
frc_36	frc_45	1.000000
frc_36	frc_46	1.000000
frc_26	frc_47	1.000000
